"","adm1","adm2","month","year","conf"
"349","Boke","Boffa",10,2021,5446
"350","Boke","Boffa",10,2022,8138
"351","Boke","Boffa",11,2018,3671
"352","Boke","Boffa",11,2019,4807
"353","Boke","Boffa",11,2020,5042
"354","Boke","Boffa",11,2021,5521
"355","Boke","Boffa",11,2022,7414
"356","Boke","Boffa",12,2018,3827
"357","Boke","Boffa",12,2019,4652
"358","Boke","Boffa",12,2020,5034
"359","Boke","Boffa",12,2021,6468
"360","Boke","Boffa",12,2022,6358
"361","Boke","Boke",1,2018,4486
"362","Boke","Boke",1,2019,6006
"363","Boke","Boke",1,2020,6685
"364","Boke","Boke",1,2021,7293
"365","Boke","Boke",1,2022,11758
"366","Boke","Boke",2,2018,3673
"367","Boke","Boke",2,2019,4632
"368","Boke","Boke",2,2020,6331
"369","Boke","Boke",2,2021,5880
"370","Boke","Boke",2,2022,8535
"371","Boke","Boke",3,2018,2841
"372","Boke","Boke",3,2019,4424
"373","Boke","Boke",3,2020,6473
"374","Boke","Boke",3,2021,5829
"375","Boke","Boke",3,2022,5655
"376","Boke","Boke",4,2018,3079
"377","Boke","Boke",4,2019,1616
"378","Boke","Boke",4,2020,4512
"379","Boke","Boke",4,2021,5040
"380","Boke","Boke",4,2022,4646
"381","Boke","Boke",5,2018,3024
"382","Boke","Boke",5,2019,2833
"383","Boke","Boke",5,2020,4620
"384","Boke","Boke",5,2021,4631
"385","Boke","Boke",5,2022,5986
"386","Boke","Boke",6,2018,4709
"387","Boke","Boke",6,2019,3748
"388","Boke","Boke",6,2020,5035
"389","Boke","Boke",6,2021,6037
"390","Boke","Boke",6,2022,8462
"391","Boke","Boke",7,2018,8324
"392","Boke","Boke",7,2019,9070
"393","Boke","Boke",7,2020,9789
"394","Boke","Boke",7,2021,13050
"395","Boke","Boke",7,2022,15708
"396","Boke","Boke",8,2018,8643
"397","Boke","Boke",8,2019,14847
"398","Boke","Boke",8,2020,12457
"399","Boke","Boke",8,2021,15131
"400","Boke","Boke",8,2022,21183
"401","Boke","Boke",9,2018,14002
"402","Boke","Boke",9,2019,16669
"403","Boke","Boke",9,2020,15381
"404","Boke","Boke",9,2021,16881
"405","Boke","Boke",9,2022,23141
"406","Boke","Boke",10,2018,9238
"407","Boke","Boke",10,2019,13054
"408","Boke","Boke",10,2020,11829
"409","Boke","Boke",10,2021,14628
"410","Boke","Boke",10,2022,24597
"411","Boke","Boke",11,2018,10655
"412","Boke","Boke",11,2019,16800
"413","Boke","Boke",11,2020,14517
"414","Boke","Boke",11,2021,16023
"415","Boke","Boke",11,2022,21740
"416","Boke","Boke",12,2018,3202
"417","Boke","Boke",12,2019,12242
"418","Boke","Boke",12,2020,12242
"419","Boke","Boke",12,2021,15188
"420","Boke","Boke",12,2022,14511
"421","Boke","Fria",1,2018,1415
"422","Boke","Fria",1,2019,1226
"423","Boke","Fria",1,2020,1553
"424","Boke","Fria",1,2021,1182
"425","Boke","Fria",1,2022,2817
"426","Boke","Fria",2,2018,840
"427","Boke","Fria",2,2019,1056
"428","Boke","Fria",2,2020,1043
"429","Boke","Fria",2,2021,923
"430","Boke","Fria",2,2022,1911
"431","Boke","Fria",3,2018,933
"432","Boke","Fria",3,2019,1243
"433","Boke","Fria",3,2020,982
"434","Boke","Fria",3,2021,863
"435","Boke","Fria",3,2022,1417
"436","Boke","Fria",4,2018,952
"437","Boke","Fria",4,2019,577
"438","Boke","Fria",4,2020,844
"439","Boke","Fria",4,2021,867
"440","Boke","Fria",4,2022,970
"441","Boke","Fria",5,2018,962
"442","Boke","Fria",5,2019,1051
"443","Boke","Fria",5,2020,1245
"444","Boke","Fria",5,2021,871
"445","Boke","Fria",5,2022,1689
"446","Boke","Fria",6,2018,1460
"447","Boke","Fria",6,2019,1606
"448","Boke","Fria",6,2020,2339
"449","Boke","Fria",6,2021,1588
"450","Boke","Fria",6,2022,4384
"451","Boke","Fria",7,2018,4049
"452","Boke","Fria",7,2019,3547
"453","Boke","Fria",7,2020,3225
"454","Boke","Fria",7,2021,2816
"455","Boke","Fria",7,2022,5445
"456","Boke","Fria",8,2018,4254
"457","Boke","Fria",8,2019,3790
"458","Boke","Fria",8,2020,3044
"459","Boke","Fria",8,2021,3765
"460","Boke","Fria",8,2022,6471
"461","Boke","Fria",9,2018,3001
"462","Boke","Fria",9,2019,2650
"463","Boke","Fria",9,2020,2805
"464","Boke","Fria",9,2021,2605
"465","Boke","Fria",9,2022,4917
"466","Boke","Fria",10,2018,2535
"467","Boke","Fria",10,2019,1969
"468","Boke","Fria",10,2020,1202
"469","Boke","Fria",10,2021,2026
"470","Boke","Fria",10,2022,3614
"471","Boke","Fria",11,2018,2356
"472","Boke","Fria",11,2019,2885
"473","Boke","Fria",11,2020,1801
"474","Boke","Fria",11,2021,1866
"475","Boke","Fria",11,2022,4277
"476","Boke","Fria",12,2018,1951
"477","Boke","Fria",12,2019,2394
"478","Boke","Fria",12,2020,2026
"479","Boke","Fria",12,2021,2761
"480","Boke","Fria",12,2022,3660
"481","Boke","Gaoual",1,2018,845
"482","Boke","Gaoual",1,2019,699
"483","Boke","Gaoual",1,2020,1035
"484","Boke","Gaoual",1,2021,803
"485","Boke","Gaoual",1,2022,1920
"486","Boke","Gaoual",2,2018,585
"487","Boke","Gaoual",2,2019,400
"488","Boke","Gaoual",2,2020,771
"489","Boke","Gaoual",2,2021,533
"490","Boke","Gaoual",2,2022,1642
"491","Boke","Gaoual",3,2018,352
"492","Boke","Gaoual",3,2019,500
"493","Boke","Gaoual",3,2020,655
"494","Boke","Gaoual",3,2021,422
"495","Boke","Gaoual",3,2022,1153
"496","Boke","Gaoual",4,2018,408
"497","Boke","Gaoual",4,2019,332
"498","Boke","Gaoual",4,2020,476
"499","Boke","Gaoual",4,2021,364
"500","Boke","Gaoual",4,2022,787
"501","Boke","Gaoual",5,2018,446
"502","Boke","Gaoual",5,2019,314
"503","Boke","Gaoual",5,2020,499
"504","Boke","Gaoual",5,2021,542
"505","Boke","Gaoual",5,2022,1358
"506","Boke","Gaoual",6,2018,665
"507","Boke","Gaoual",6,2019,593
"508","Boke","Gaoual",6,2020,1110
"509","Boke","Gaoual",6,2021,800
"510","Boke","Gaoual",6,2022,2190
"511","Boke","Gaoual",7,2018,3091
"512","Boke","Gaoual",7,2019,2499
"513","Boke","Gaoual",7,2020,3047
"514","Boke","Gaoual",7,2021,4253
"515","Boke","Gaoual",7,2022,5199
"516","Boke","Gaoual",8,2018,4080
"517","Boke","Gaoual",8,2019,3892
"518","Boke","Gaoual",8,2020,3828
"519","Boke","Gaoual",8,2021,5119
"520","Boke","Gaoual",8,2022,7551
"521","Boke","Gaoual",9,2018,2970
"522","Boke","Gaoual",9,2019,3062
"523","Boke","Gaoual",9,2020,2574
"524","Boke","Gaoual",9,2021,3463
"525","Boke","Gaoual",9,2022,5396
"526","Boke","Gaoual",10,2018,2615
"527","Boke","Gaoual",10,2019,3074
"528","Boke","Gaoual",10,2020,663
"529","Boke","Gaoual",10,2021,2271
"530","Boke","Gaoual",10,2022,4428
"531","Boke","Gaoual",11,2018,2522
"532","Boke","Gaoual",11,2019,3533
"533","Boke","Gaoual",11,2020,2746
"534","Boke","Gaoual",11,2021,3788
"535","Boke","Gaoual",11,2022,4990
"536","Boke","Gaoual",12,2018,1472
"537","Boke","Gaoual",12,2019,1977
"538","Boke","Gaoual",12,2020,1873
"539","Boke","Gaoual",12,2021,2332
"540","Boke","Gaoual",12,2022,2612
"541","Boke","Koundara",1,2018,539
"542","Boke","Koundara",1,2019,690
"543","Boke","Koundara",1,2020,476
"544","Boke","Koundara",1,2021,1090
"545","Boke","Koundara",1,2022,1190
"546","Boke","Koundara",2,2018,554
"547","Boke","Koundara",2,2019,368
"548","Boke","Koundara",2,2020,674
"549","Boke","Koundara",2,2021,382
"550","Boke","Koundara",2,2022,1007
"551","Boke","Koundara",3,2018,417
"552","Boke","Koundara",3,2019,315
"553","Boke","Koundara",3,2020,286
"554","Boke","Koundara",3,2021,388
"555","Boke","Koundara",3,2022,628
"556","Boke","Koundara",4,2018,261
"557","Boke","Koundara",4,2019,182
"558","Boke","Koundara",4,2020,203
"559","Boke","Koundara",4,2021,264
"560","Boke","Koundara",4,2022,381
"561","Boke","Koundara",5,2018,205
"562","Boke","Koundara",5,2019,120
"563","Boke","Koundara",5,2020,180
"564","Boke","Koundara",5,2021,166
"565","Boke","Koundara",5,2022,445
"566","Boke","Koundara",6,2018,216
"567","Boke","Koundara",6,2019,171
"568","Boke","Koundara",6,2020,370
"569","Boke","Koundara",6,2021,295
"570","Boke","Koundara",6,2022,1501
"571","Boke","Koundara",7,2018,2359
"572","Boke","Koundara",7,2019,1343
"573","Boke","Koundara",7,2020,3384
"574","Boke","Koundara",7,2021,3867
"575","Boke","Koundara",7,2022,7084
"576","Boke","Koundara",8,2018,4382
"577","Boke","Koundara",8,2019,4972
"578","Boke","Koundara",8,2020,4950
"579","Boke","Koundara",8,2021,5691
"580","Boke","Koundara",8,2022,9369
"581","Boke","Koundara",9,2018,3177
"582","Boke","Koundara",9,2019,4205
"583","Boke","Koundara",9,2020,3562
"584","Boke","Koundara",9,2021,4933
"585","Boke","Koundara",9,2022,8680
"586","Boke","Koundara",10,2018,3662
"587","Boke","Koundara",10,2019,3469
"588","Boke","Koundara",10,2020,2516
"589","Boke","Koundara",10,2021,5345
"590","Boke","Koundara",10,2022,7359
"591","Boke","Koundara",11,2018,3674
"592","Boke","Koundara",11,2019,5056
"593","Boke","Koundara",11,2020,4432
"594","Boke","Koundara",11,2021,3746
"595","Boke","Koundara",11,2022,7926
"596","Boke","Koundara",12,2018,1410
"597","Boke","Koundara",12,2019,2522
"598","Boke","Koundara",12,2020,1729
"599","Boke","Koundara",12,2021,3070
"600","Boke","Koundara",12,2022,3512
"601","Faranah","Dabola",1,2018,1896
"602","Faranah","Dabola",1,2019,1614
"603","Faranah","Dabola",1,2020,2177
"604","Faranah","Dabola",1,2021,2330
"605","Faranah","Dabola",1,2022,2519
"606","Faranah","Dabola",2,2018,1436
"607","Faranah","Dabola",2,2019,1253
"608","Faranah","Dabola",2,2020,1783
"609","Faranah","Dabola",2,2021,1818
"610","Faranah","Dabola",2,2022,1701
"611","Faranah","Dabola",3,2018,1614
"612","Faranah","Dabola",3,2019,1002
"613","Faranah","Dabola",3,2020,1530
"614","Faranah","Dabola",3,2021,1586
"615","Faranah","Dabola",3,2022,1498
"616","Faranah","Dabola",4,2018,2007
"617","Faranah","Dabola",4,2019,1169
"618","Faranah","Dabola",4,2020,883
"619","Faranah","Dabola",4,2021,1810
"620","Faranah","Dabola",4,2022,2177
"621","Faranah","Dabola",5,2018,2131
"622","Faranah","Dabola",5,2019,1554
